selection_id,selection_label,lsoa_code,lsoa_name,borough,inner_imd_quintile,deprivation_category,imd_score,imd_rank,la_code,imd_decile,Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
1,LSOA_01,E01000882,Camden 008B,Camden,1,1_Least Deprived (Inner London),4.319,31192,E09000007,10,0.018,32407,10,0.012,32701,10,1.094,31917,10,-2.291,32757,10,-0.686,26068,8,16.752,20748,7,29.53,9082,3
2,LSOA_02,E01002714,Islington 017D,Islington,1,1_Least Deprived (Inner London),14.035,19913,E09000019,7,0.078,19837,7,0.053,23754,8,5.843,26334,9,-0.536,23872,8,0.261,12539,4,25.392,10753,4,37.528,5154,2
3,LSOA_03,E01004073,Southwark 031C,Southwark,1,1_Least Deprived (Inner London),8.556,26350,E09000028,9,0.061,23518,8,0.034,29697,10,0.696,32346,10,-0.922,28167,9,-0.147,18841,6,17.929,19223,6,35.61,5967,2
4,LSOA_04,E01004553,Wandsworth 015A,Wandsworth,1,1_Least Deprived (Inner London),11.274,23022,E09000032,8,0.064,22879,7,0.04,27826,9,1.727,31187,10,-0.411,22268,7,0.519,8794,3,23.69,12447,4,27.781,10087,4
5,LSOA_05,E01001718,Hackney 007D,Hackney,2,2_Less Deprived (Inner London),20.149,14212,E09000012,5,0.072,21074,7,0.038,28432,9,4.731,27637,9,-0.293,20545,7,1.098,2824,1,39.694,2290,1,44.58,2999,1
6,LSOA_06,E01003134,Lambeth 027D,Lambeth,2,2_Less Deprived (Inner London),19.56,14757,E09000022,5,0.122,13483,5,0.086,15074,5,7.321,24689,8,0.055,15163,5,0.408,10319,4,23.633,12514,4,34.957,6261,2
7,LSOA_07,E01003262,Lewisham 021E,Lewisham,2,2_Less Deprived (Inner London),19.131,15134,E09000023,5,0.109,15084,5,0.078,16879,6,4.809,27540,9,-0.145,18301,6,0.228,13063,4,31.281,6099,2,39.183,4554,2
8,LSOA_08,E01004519,Wandsworth 036C,Wandsworth,2,2_Less Deprived (Inner London),16.635,17332,E09000032,6,0.116,14140,5,0.064,20385,7,6.404,25714,8,-0.311,20814,7,0.246,12776,4,26.707,9556,3,33.615,6887,3
9,LSOA_09,E01001646,Greenwich 019A,Greenwich,3,3_Average (Inner London),25.032,10745,E09000011,4,0.188,7423,3,0.101,12372,4,14.452,17789,6,0.037,15440,5,-0.202,19658,6,42.743,1480,1,16.37,18081,6
10,LSOA_10,E01002794,Islington 020B,Islington,3,3_Average (Inner London),22.216,12607,E09000019,4,0.118,13959,5,0.078,16885,6,7.441,24549,8,0,16023,5,0.824,5174,2,26.061,10124,4,46.461,2562,1
11,LSOA_11,E01003182,Lambeth 009D,Lambeth,3,3_Average (Inner London),26.612,9827,E09000022,3,0.164,9326,3,0.121,9595,3,11.864,20072,7,0.04,15397,5,0.537,8578,3,32.028,5637,2,37.474,5183,2
12,LSOA_12,E01004234,Tower Hamlets 003E,Tower Hamlets,3,3_Average (Inner London),24.249,11218,E09000030,4,0.112,14721,5,0.064,20450,7,2.713,30076,10,-0.349,21438,7,1.913,282,1,23.131,13070,4,52.187,1549,1
13,LSOA_13,E01001701,Greenwich 015C,Greenwich,4,4_More Deprived (Inner London),29.43,8286,E09000011,3,0.167,9064,3,0.116,10231,4,14.381,17844,6,0.716,6719,3,0.534,8623,3,41.282,1839,1,22.667,13363,5
14,LSOA_14,E01002729,Islington 021E,Islington,4,4_More Deprived (Inner London),31.027,7539,E09000019,3,0.186,7605,3,0.159,5774,2,7.445,24542,8,-0.079,17253,6,0.703,6469,2,24.118,12017,4,56.134,1051,1
15,LSOA_15,E01002906,Kensington and Chelsea 002C,Kensington and Chelsea,4,4_More Deprived (Inner London),33.044,6647,E09000020,3,0.21,6079,2,0.158,5859,2,12.324,19639,6,0.406,10240,4,0.217,13229,5,40.016,2184,1,35.634,5959,2
16,LSOA_16,E01004720,Westminster 004C,Westminster,4,4_More Deprived (Inner London),32.043,7066,E09000033,3,0.23,4985,2,0.152,6337,2,19.59,14025,5,-0.051,16807,6,0.616,7503,3,24.141,11997,4,42.833,3446,2
17,LSOA_17,E01001944,Hammersmith and Fulham 004B,Hammersmith and Fulham,5,5_Most Deprived (Inner London),43.021,3478,E09000013,2,0.304,2074,1,0.232,1823,1,14.852,17460,6,0.624,7667,3,-0.222,19930,7,42.535,1532,1,26.176,11055,4
18,LSOA_18,E01002732,Islington 005A,Islington,5,5_Most Deprived (Inner London),47.055,2650,E09000019,1,0.291,2481,1,0.22,2255,1,23.439,11648,4,0.959,4549,2,1.373,1448,1,31.405,6026,2,29.832,8915,3
19,LSOA_19,E01003066,Lambeth 028B,Lambeth,5,5_Most Deprived (Inner London),37.398,5079,E09000022,2,0.228,5090,2,0.151,6474,2,14.712,17575,6,1.058,3811,2,1.191,2285,1,28.67,7911,3,34.282,6560,2
20,LSOA_20,E01004757,Westminster 010C,Westminster,5,5_Most Deprived (Inner London),40.501,4110,E09000033,2,0.321,1648,1,0.206,2859,1,19.094,14331,5,0.241,12485,4,0.358,11051,4,24.912,11215,4,39.957,4273,2
