lsoa_code,n_images,mean_gvi,median_gvi,std_gvi,min_gvi,max_gvi,deeplearning_count,color_threshold_count,processing_time
E01000882,100,13.517031510670982,12.729350725809734,7.023897315658604,0.9900569915771484,36.168575286865234,100,0,2025-08-02T00:19:38.853922
E01002714,100,12.881843513912626,11.304076512654623,11.069959775147957,0.031948089599609375,56.37515385945638,94,6,2025-08-02T00:21:51.245991
E01004073,100,28.886300209045412,27.05047925313314,12.66696205212973,6.263446807861328,62.725162506103516,100,0,2025-08-02T00:24:04.857911
E01004553,100,28.69899366920377,20.825355623975213,27.907577716982374,0.01777013142903646,98.71352513631186,84,16,2025-08-02T00:26:15.739862
E01001718,100,10.095750013987223,5.969921747843425,9.997975333873063,0.027688344319661457,39.235877990722656,92,8,2025-08-02T00:28:38.877012
E01003134,100,46.63836987577839,44.564056396484375,12.735941103605269,17.508729298909508,76.48086547851562,100,0,2025-08-02T00:30:43.448518
E01003262,100,35.22630597291169,29.484488781587576,18.55393682243563,3.499190012613932,75.99089940388998,100,0,2025-08-02T00:33:01.138837
E01004519,100,6.020015716552734,6.032800674438477,3.09018421974642,0.8954048156738281,18.62177848815918,100,0,2025-08-02T00:34:58.566632
E01001646,100,19.582526524861652,18.04375648498535,10.46034809431892,2.1976470947265625,68.38397979736328,100,0,2025-08-02T00:37:29.701521
E01002794,100,12.082870776173811,9.132220080166046,11.545740390487722,0.018920368158123372,52.24291207374022,94,6,2025-08-02T00:39:39.001903
E01003182,100,14.021080706278482,8.984788258870443,12.28005589185435,0.029427083333333333,47.58564631144206,96,4,2025-08-02T00:41:45.422883
E01004234,100,29.276024851622406,25.175166377314817,20.701093362418682,0.5249500274658203,92.26790364583334,100,0,2025-08-02T00:43:51.591311
E01001701,100,18.776863000275256,17.093594868977863,13.20267500663087,1.1442184448242188,74.80005130859021,100,0,2025-08-02T00:46:04.670894
E01002729,100,8.880723334231824,4.849648475646973,10.408345211353593,0.008499710648148149,40.39027713672893,95,5,2025-08-02T00:48:11.670472
E01002906,100,27.782067298889157,27.164745330810547,14.474898278866183,0.021839141845703125,68.3603286743164,99,1,2025-08-02T00:50:47.333562
E01004720,100,8.605509440104168,5.627600351969401,7.976537635039815,0.0,29.795583089192707,97,3,2025-08-02T00:53:21.901311
E01001944,100,11.020136192712858,6.941823685925282,12.325535786861947,0.023926205473501303,43.285772222523896,72,28,2025-08-02T00:55:31.256345
E01002732,100,16.688647429148357,12.7882719039917,15.453916503602986,0.031693776448567704,75.90862909952799,93,7,2025-08-02T00:57:47.648307
E01003066,100,20.340734163920082,9.577290217081705,24.231330004560913,0.02040863037109375,97.31454849243164,84,16,2025-08-02T01:00:25.874572
E01004757,100,19.34174732784931,17.322969436645508,12.599366394812048,0.08480227791051259,45.30940055847168,97,3,2025-08-02T01:02:33.148953
