LSOA,Borough,IMD Q,Images,Mean GVI,SD,DL%
E01000882,Camden,1,100,13.5%,7,100%
E01002714,Islington,1,100,12.9%,11.1,94%
E01004073,Southwark,1,100,28.9%,12.7,100%
E01004553,Wandsworth,1,100,28.7%,27.9,84%
E01001718,Hackney,2,100,10.1%,10,92%
E01003134,Lambeth,2,100,46.6%,12.7,100%
E01003262,Lewisham,2,100,35.2%,18.6,100%
E01004519,Wandsworth,2,100,6%,3.1,100%
E01001646,Greenwich,3,100,19.6%,10.5,100%
E01002794,Islington,3,100,12.1%,11.5,94%
E01003182,Lambeth,3,100,14%,12.3,96%
E01004234,Tower Hamlets,3,100,29.3%,20.7,100%
E01001701,Greenwich,4,100,18.8%,13.2,100%
E01002729,Islington,4,100,8.9%,10.4,95%
E01002906,Kensington & Chelsea,4,100,27.8%,14.5,99%
E01004720,Westminster,4,100,8.6%,8,97%
E01001944,Hammersmith & Fulham,5,100,11%,12.3,72%
E01002732,Islington,5,100,16.7%,15.5,93%
E01003066,Lambeth,5,100,20.3%,24.2,84%
E01004757,Westminster,5,100,19.3%,12.6,97%
