borough,n_lsoas,mean_gvi,sd_gvi,mean_imd,sd_imd,correlation
Lambeth,178,21.86386975922397,NA,25.797247191011238,8.095429229004983,-0.17589875431075735
Lewisham,169,19.511260252237737,NA,26.869360946745562,8.727026714050524,0.11592044664936814
Wandsworth,179,17.8154237594609,NA,16.420262569832403,7.961654345991905,-0.06988529358234802
Camden,133,17.751713490729735,NA,19.981052631578947,10.293099718887722,-0.39404640604281904
Southwark,166,17.687145553896013,NA,26.041289156626505,9.504406887308543,-0.28258321009922593
Islington,123,15.854590374743303,NA,27.706040650406504,8.866024543348164,0.12462077175249939
Hackney,144,15.781559349206866,NA,32.86820138888889,7.976902437514228,0.15306957992966982
Greenwich,151,15.59681620735615,NA,24.27517880794702,9.355408515638494,-0.1077514947528857
Westminster,128,15.226881052512033,NA,20.33184375,11.117595988963572,-0.3057845391439171
Hammersmith and Fulham,113,12.913719073903165,NA,22.326221238938054,9.87167324228279,0.06699335211842306
Kensington and Chelsea,103,12.881569170407557,NA,22.019300970873786,12.998824383370403,-0.037316073434944794
Tower Hamlets,144,12.00398122639051,NA,27.970458333333333,9.41344318810043,-1.622998533055104e-4
